timestamp,account,code,line,receiver,ri,raw_message,bracket_content
2025-10-01T08:04:22.610810,005544,999,L0,R0,1,"5E75005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:44,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:23.570290,005544,999,L0,R0,1,"5E75005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:44,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:04:24.530408,005544,999,L0,R0,1,"5E75005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:04:44,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:05:11.733471,005544,999,L0,R0,2,"8BD7005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_08:05:34,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T08:05:12.689338,005544,999,L0,R0,2,"8BD7005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_08:05:34,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T08:05:13.649134,005544,999,L0,R0,2,"8BD7005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_08:05:34,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T08:05:14.609146,005544,999,L0,R0,2,"8BD7005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_08:05:34,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T08:05:37.864355,005544,999,L0,R0,2,"8660005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_08:06:00,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T08:05:38.819444,005544,999,L0,R0,2,"8660005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_08:06:00,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T08:05:39.778753,005544,999,L0,R0,2,"8660005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_08:06:00,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T08:05:40.739215,005544,999,L0,R0,2,"8660005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_08:06:00,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T08:07:03.892770,005544,999,L0,R0,2,"0A64005E""SIA-DCS""6925L0#005544[#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^]_08:07:27,10-01-2025",#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^
2025-10-01T08:07:04.848610,005544,999,L0,R0,2,"0A64005E""SIA-DCS""6925L0#005544[#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^]_08:07:27,10-01-2025",#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^
2025-10-01T08:07:05.808023,005544,999,L0,R0,2,"0A64005E""SIA-DCS""6925L0#005544[#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^]_08:07:27,10-01-2025",#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^
2025-10-01T08:07:06.768496,005544,999,L0,R0,2,"0A64005E""SIA-DCS""6925L0#005544[#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^]_08:07:27,10-01-2025",#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^
2025-10-01T08:08:29.895511,005544,999,L0,R0,2,"4128005E""SIA-DCS""6925L0#005544[#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^]_08:08:51,10-01-2025",#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^
2025-10-01T08:08:30.852366,005544,999,L0,R0,2,"4128005E""SIA-DCS""6925L0#005544[#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^]_08:08:51,10-01-2025",#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^
2025-10-01T08:08:31.812779,005544,999,L0,R0,2,"4128005E""SIA-DCS""6925L0#005544[#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^]_08:08:51,10-01-2025",#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^
2025-10-01T08:08:32.773122,005544,999,L0,R0,2,"4128005E""SIA-DCS""6925L0#005544[#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^]_08:08:51,10-01-2025",#005544|Nri2UX36^C. BASCULANTE   GARAGE          ^
2025-10-01T08:55:45.445735,005544,999,L0,R0,1,"5BD7005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:56:09,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:55:46.402064,005544,999,L0,R0,1,"5BD7005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:56:09,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:55:47.361674,005544,999,L0,R0,1,"5BD7005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:56:09,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:55:48.321992,005544,999,L0,R0,1,"5BD7005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:56:09,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:55:52.905289,005544,999,L0,R0,1,"CAC5005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:56:15,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:55:53.861464,005544,999,L0,R0,1,"CAC5005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:56:15,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:55:56.848753,005544,999,L0,R0,1,"CAC5005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:56:15,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T08:55:57.821931,005544,999,L0,R0,1,"CAC5005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_08:56:15,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:03.767142,005544,999,L0,R0,1,"F7D6005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:51:25,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:04.722473,005544,999,L0,R0,1,"F7D6005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:51:25,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:05.682735,005544,999,L0,R0,1,"F7D6005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:51:25,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:06.687177,005544,999,L0,R0,1,"F7D6005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:51:25,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:11.584689,005544,999,L0,R0,1,"B925005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:51:31,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:12.542871,005544,999,L0,R0,1,"B925005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:51:31,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:13.502119,005544,999,L0,R0,1,"B925005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:51:31,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:14.462858,005544,999,L0,R0,1,"B925005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:51:31,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:51:22.724884,005544,999,L0,R0,2,"A7B3005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_09:51:46,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T09:51:23.682756,005544,999,L0,R0,2,"A7B3005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_09:51:46,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T09:51:24.642151,005544,999,L0,R0,2,"A7B3005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_09:51:46,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T09:51:25.602164,005544,999,L0,R0,2,"A7B3005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_09:51:46,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T09:55:03.553527,005544,999,L0,R0,1,"F0D6005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:55:26,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:55:04.510678,005544,999,L0,R0,1,"F0D6005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:55:26,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:55:05.469712,005544,999,L0,R0,1,"F0D6005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:55:26,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:55:06.470196,005544,999,L0,R0,1,"F0D6005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:55:26,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:55:10.724229,005544,999,L0,R0,1,"BA21005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:55:31,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:55:11.679997,005544,999,L0,R0,1,"BA21005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:55:31,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:55:12.640477,005544,999,L0,R0,1,"BA21005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:55:31,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:55:13.600479,005544,999,L0,R0,1,"BA21005E""SIA-DCS""6925L0#005544[#005544|Nri1UX11^C. P.INGRESSO   CASA            ^]_09:55:31,10-01-2025",#005544|Nri1UX11^C. P.INGRESSO   CASA            ^
2025-10-01T09:55:18.197797,005544,999,L0,R0,2,"6B46005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_09:55:42,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T09:55:19.155706,005544,999,L0,R0,2,"6B46005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_09:55:42,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T09:55:20.115457,005544,999,L0,R0,2,"6B46005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_09:55:42,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T09:55:21.075300,005544,999,L0,R0,2,"6B46005E""SIA-DCS""6925L0#005544[#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^]_09:55:42,10-01-2025",#005544|Nri2UX37^C.P.SEMINTERRATOGARAGE          ^
2025-10-01T10:37:31.232129,005544,999,L0,R0,1,"CD59005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:37:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:32.188627,005544,999,L0,R0,1,"CD59005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:37:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:33.147831,005544,999,L0,R0,1,"CD59005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:37:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:34.108260,005544,999,L0,R0,1,"CD59005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:37:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:38.671522,005544,999,L0,R0,1,"0BE3005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:38:01,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:39.628697,005544,999,L0,R0,1,"0BE3005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:38:01,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:40.587768,005544,999,L0,R0,1,"0BE3005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:38:01,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:37:41.548312,005544,999,L0,R0,1,"0BE3005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:38:01,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:25.370341,005544,999,L0,R0,1,"B22D005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:47,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:26.325346,005544,999,L0,R0,1,"B22D005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:47,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:27.285849,005544,999,L0,R0,1,"B22D005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:47,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:28.246979,005544,999,L0,R0,1,"B22D005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:47,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:36.514077,005544,999,L0,R0,1,"273B005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:58,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:37.470642,005544,999,L0,R0,1,"273B005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:58,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:38.430775,005544,999,L0,R0,1,"273B005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:58,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T10:42:39.390150,005544,999,L0,R0,1,"273B005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_10:42:58,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:27:16.481154,005544,999,L0,R0,1,"F8D5005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:27:38,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:27:17.436065,005544,999,L0,R0,1,"F8D5005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:27:38,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:27:18.395974,005544,999,L0,R0,1,"F8D5005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:27:38,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:27:19.357062,005544,999,L0,R0,1,"F8D5005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:27:38,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:27:30.623921,005544,999,L0,R0,1,"E539005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:27:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:27:31.580379,005544,999,L0,R0,1,"E539005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:27:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:27:32.541121,005544,999,L0,R0,1,"E539005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:27:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:27:33.501179,005544,999,L0,R0,1,"E539005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:27:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:35:32.030257,005544,999,L0,R0,1,"747A005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:35:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:35:32.986657,005544,999,L0,R0,1,"747A005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:35:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:35:33.945757,005544,999,L0,R0,1,"747A005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:35:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:35:34.906771,005544,999,L0,R0,1,"747A005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:35:53,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:37:16.038407,005544,999,L0,R0,1,"ABE9005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:37:39,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:37:16.996265,005544,999,L0,R0,1,"ABE9005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:37:39,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:37:17.955104,005544,999,L0,R0,1,"ABE9005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:37:39,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:37:18.915701,005544,999,L0,R0,1,"ABE9005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:37:39,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:01.057185,005544,999,L0,R0,1,"94FE005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:59:23,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:02.013654,005544,999,L0,R0,1,"94FE005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:59:23,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:02.974308,005544,999,L0,R0,1,"94FE005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:59:23,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:03.935323,005544,999,L0,R0,1,"94FE005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:59:23,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:18.186727,005544,999,L0,R0,1,"910A005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:59:42,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:19.143501,005544,999,L0,R0,1,"910A005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:59:42,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:20.104117,005544,999,L0,R0,1,"910A005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:59:42,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:21.063686,005544,999,L0,R0,1,"910A005E""SIA-DCS""6925L0#005544[#005544|Nri1UX17^C. P.CUCINA     CASA            ^]_12:59:42,10-01-2025",#005544|Nri1UX17^C. P.CUCINA     CASA            ^
2025-10-01T12:59:47.305634,005544,999,L0,R0,1,"9F8E005E""SIA-DCS""6925L0#005544[#005544|Nri1UX15^C. P.TERRAZZA   CASA            ^]_13:00:11,10-01-2025",#005544|Nri1UX15^C. P.TERRAZZA   CASA            ^
2025-10-01T12:59:48.263391,005544,999,L0,R0,1,"9F8E005E""SIA-DCS""6925L0#005544[#005544|Nri1UX15^C. P.TERRAZZA   CASA            ^]_13:00:11,10-01-2025",#005544|Nri1UX15^C. P.TERRAZZA   CASA            ^
